"tconst","parentTconst","seasonNumber","episodeNumber","averageRating","numVotes","episode_title","episode_startYear","episode_endYear","episode_runtimeMinutes","episode_genres","series_title"
"tt0729659","tt1628033",1,1,7.2,254,"The Legacy Begins","2002",NA,45,"Adventure,Comedy,Reality-TV","Top Gear"
"tt0729660","tt1628033",1,2,7.2,209,"Bus Jumps Over Motorbikes","2002",NA,45,"Adventure,Comedy,Reality-TV","Top Gear"
"tt0729661","tt1628033",1,3,7.3,190,"Grannies Doing Doughnuts","2002",NA,NA,"Adventure,Comedy,Reality-TV","Top Gear"
"tt0729662","tt1628033",1,4,7.2,182,"Clarkson Drives the Aston Martin Vanquish","2002",NA,NA,"Adventure,Comedy,Reality-TV","Top Gear"
"tt0729663","tt1628033",1,5,7.3,177,"Budget Bond Car","2002",NA,NA,"Adventure,Comedy,Reality-TV","Top Gear"
"tt0729664","tt1628033",1,6,7.3,178,"Grannies Attempt Hand Brake Parking","2002",NA,NA,"Adventure,Comedy,Reality-TV","Top Gear"
"tt0729665","tt1628033",1,7,7.3,172,"Britain's Fastest Faith Race","2002",NA,65,"Adventure,Comedy,Reality-TV","Top Gear"
"tt0729666","tt1628033",1,8,7.3,182,"Britain's Fastest White-Van Driver","2002",NA,NA,"Adventure,Comedy,Reality-TV","Top Gear"
"tt0729667","tt1628033",1,9,7.4,175,"Can The Stig Be Beat?","2002",NA,NA,"Adventure,Comedy,Reality-TV","Top Gear"
"tt0729668","tt1628033",1,10,7.3,178,"Britain's Fastest Faith Race 2","2002",NA,NA,"Adventure,Comedy,Reality-TV","Top Gear"
"tt0729669","tt1628033",2,1,7.8,216,"Nissan Sunny vs. Jet Engine","2003",NA,49,"Adventure,Comedy,Reality-TV","Top Gear"
"tt0729670","tt1628033",2,2,7.6,192,"Election Rally Car Showdown","2003",NA,54,"Adventure,Comedy,Reality-TV","Top Gear"
"tt0729671","tt1628033",2,3,7.6,187,"Which Country Has the Fastest Supercar?","2003",NA,51,"Adventure,Comedy,Reality-TV","Top Gear"
"tt0729672","tt1628033",2,4,7.6,179,"Lots of Jaguars and Boris Johnson","2003",NA,51,"Adventure,Comedy,Reality-TV","Top Gear"
"tt0729673","tt1628033",2,5,7.7,178,"Clarkson and the Porsche 911","2003",NA,53,"Adventure,Comedy,Reality-TV","Top Gear"
"tt0729674","tt1628033",2,6,7.9,172,"Mitsubishi Evo VIII vs. Subaru Impreza STI","2003",NA,53,"Adventure,Comedy,Reality-TV","Top Gear"
"tt0729675","tt1628033",2,7,8,179,"Crash Testing a Renault Megane","2003",NA,54,"Adventure,Comedy,Reality-TV","Top Gear"
"tt0729676","tt1628033",2,8,7.8,172,"Topless Showdown","2003",NA,46,"Adventure,Comedy,Reality-TV","Top Gear"
"tt0729677","tt1628033",2,9,7.9,175,"Clarkson Backseat Drives a Vauxhall","2003",NA,53,"Adventure,Comedy,Reality-TV","Top Gear"
"tt0729678","tt1628033",2,10,7.9,170,"Land Rover Reliability Challenge","2003",NA,56,"Adventure,Comedy,Reality-TV","Top Gear"
"tt0729679","tt1628033",3,1,7.9,177,"Celebrating 40 Years of the Porsche 911","2003",NA,58,"Adventure,Comedy,Reality-TV","Top Gear"
"tt0729680","tt1628033",3,2,8,176,"Can a Volvo Estate Jump Four Caravans?","2003",NA,59,"Adventure,Comedy,Reality-TV","Top Gear"
"tt0729681","tt1628033",3,3,7.9,173,"How to Escape a Sinking Car","2003",NA,60,"Adventure,Comedy,Reality-TV","Top Gear"
"tt0729682","tt1628033",3,4,8,172,"Lamborghini 40th Anniversary Celebration","2003",NA,59,"Adventure,Comedy,Reality-TV","Top Gear"
"tt0729683","tt1628033",3,5,8.1,193,"Is the Toyota Hilux Really Indestructible?","2003",NA,59,"Adventure,Comedy,Reality-TV","Top Gear"
"tt0729684","tt1628033",3,6,7.9,173,"Is the Toyota Hilux Really indestructible? Part 2","2003",NA,61,"Adventure,Comedy,Reality-TV","Top Gear"
"tt0729685","tt1628033",3,7,7.8,167,"The Best British Car of All Time","2003",NA,59,"Adventure,Comedy,Reality-TV","Top Gear"
"tt0729686","tt1628033",3,8,7.8,162,"Generation Battle - Mercedes SL vs. Mercedes SL","2003",NA,60,"Adventure,Comedy,Reality-TV","Top Gear"
"tt0729687","tt1628033",3,9,7.8,166,"Clarkson vs. the Chrysler Crossfire","2003",NA,61,"Adventure,Comedy,Reality-TV","Top Gear"
"tt0729688","tt1628033",4,1,8.3,195,"Race to Monte Carlo - Aston Martin DB9 vs. Public Transport","2004",NA,54,"Adventure,Comedy,Reality-TV","Top Gear"
"tt0729689","tt1628033",4,2,7.9,167,"Hammond Tests the Cadillac Escalade and Puts a Nun in a Monster Truck","2004",NA,52,"Adventure,Comedy,Reality-TV","Top Gear"
"tt0729690","tt1628033",4,3,8.2,174,"£100 Car Challenge","2004",NA,51,"Adventure,Comedy,Reality-TV","Top Gear"
"tt0729691","tt1628033",4,4,8.2,168,"Bullseye! The Boys Play Car Darts","2004",NA,52,"Adventure,Comedy,Reality-TV","Top Gear"
"tt0729692","tt1628033",4,5,7.9,157,"Sport Coupes Shootout - 911 vs. 6 Series vs. XKR","2004",NA,50,"Adventure,Comedy,Reality-TV","Top Gear"
"tt0729693","tt1628033",4,6,7.8,159,"Can You Run a Car on Poo?","2004",NA,53,"Adventure,Comedy,Reality-TV","Top Gear"
"tt0729694","tt1628033",4,7,7.9,160,"Hammond and May Try Mini-Cabbing","2004",NA,51,"Adventure,Comedy,Reality-TV","Top Gear"
"tt0729695","tt1628033",4,8,7.9,159,"Clarkson Drives His Dream Car - the Ford GT","2004",NA,51,"Adventure,Comedy,Reality-TV","Top Gear"
"tt0729696","tt1628033",4,9,7.8,158,"Can You Parachute Into a Moving Car?","2004",NA,51,"Adventure,Comedy,Reality-TV","Top Gear"
"tt0729697","tt1628033",4,10,7.8,154,"Clarkson Gets Wet in the X3","2004",NA,52,"Adventure,Comedy,Reality-TV","Top Gear"
"tt0729698","tt1628033",5,1,7.9,158,"Beach Battle - Jaguar vs. Chrysler vs. Vauxhall","2004",NA,53,"Adventure,Comedy,Reality-TV","Top Gear"
"tt0729699","tt1628033",5,2,8,168,"Mountainboarder vs. Rally Car","2004",NA,54,"Adventure,Comedy,Reality-TV","Top Gear"
"tt0729700","tt1628033",5,3,8,161,"Clarkson Climbs a Scottish Mountain","2004",NA,55,"Adventure,Comedy,Reality-TV","Top Gear"
"tt0729701","tt1628033",5,4,8,164,"24 Hours in a Smart Car","2004",NA,53,"Adventure,Comedy,Reality-TV","Top Gear"
